majority,R
congress,118
session,2nd
chamber,U.S. House of Representatives
rollcall-num,37
legis-num,H RES 863
vote-question,"On Agreeing to the Resolution, as Amended"
vote-type,YEA-AND-NAY
vote-result,Failed
action-date,6-Feb-2024
action-time,6:40 PM
vote-desc,"Impeaching Alejandro Nicholas Mayorkas, Secretary of Homeland Security, for high crimes and misdemeanors"
vote-totals,"
"
Name ID,Vote,Sort Field,Party,State
M001216,Yea,Mills,R,FL
M001221,Yea,Molinaro,R,NY
M001194,Yea,Moolenaar,R,MI
M001195,Yea,Mooney,R,WV
M001212,Yea,Moore (AL),R,AL
M001213,Nay,Moore (UT),R,UT
M001160,Nay,Moore (WI),D,WI
M001224,Yea,Moran,R,TX
M001206,Nay,Morelle,D,NY
M001217,Nay,Moskowitz,D,FL
M001196,Nay,Moulton,D,MA
M001214,Nay,Mrvan,D,IN
M001225,Nay,Mullin,D,CA
M001210,Yea,Murphy,R,NC
N000002,Nay,Nadler,D,NY
N000179,Nay,Napolitano,D,CA
N000015,Nay,Neal,D,MA
N000191,Nay,Neguse,D,CO
N000026,Yea,Nehls,R,TX
N000189,Yea,Newhouse,R,WA
N000194,Nay,Nickel,D,NC
N000188,Nay,Norcross,D,NJ
N000190,Yea,Norman,R,SC
N000193,Yea,Nunn (IA),R,IA
O000019,Yea,Obernolte,R,CA
O000172,Nay,Ocasio-Cortez,D,NY
O000175,Yea,Ogles,R,TN
O000173,Nay,Omar,D,MN
O000086,Yea,Owens,R,UT
P000034,Nay,Pallone,D,NJ
P000609,Yea,Palmer,R,AL
P000613,Nay,Panetta,D,CA
P000614,Nay,Pappas,D,NH
P000096,Nay,Pascrell,D,NJ
P000604,Nay,Payne,D,NJ
P000197,Nay,Pelosi,D,CA
P000619,Nay,Peltola,D,AK
P000615,Yea,Pence,R,IN
G000600,Nay,Perez,D,WA
P000605,Yea,Perry,R,PA
P000608,Nay,Peters,D,CA
P000620,Nay,Pettersen,D,CO
P000048,Yea,Pfluger,R,TX
P000616,Nay,Phillips,D,MN
P000597,Nay,Pingree,D,ME
P000607,Nay,Pocan,D,WI
P000618,Nay,Porter,D,CA
P000599,Yea,Posey,R,FL
P000617,Nay,Pressley,D,MA
Q000023,Nay,Quigley,D,IL
R000617,Nay,Ramirez,D,IL
R000606,Nay,Raskin,D,MD
R000610,Yea,Reschenthaler,R,PA
M001159,Yea,Rodgers (WA),R,WA
R000575,Yea,Rogers (AL),R,AL
R000395,Yea,Rogers (KY),R,KY
R000612,Yea,Rose,R,TN
