majority,R
congress,118
session,2nd
chamber,U.S. House of Representatives
rollcall-num,39
legis-num,H R 485
vote-question,On Motion to Recommit
vote-type,YEA-AND-NAY
vote-result,Failed
action-date,7-Feb-2024
action-time,11:06 AM
vote-desc,Protecting Health Care for All Patients Act
vote-totals,"
"
Name ID,Vote,Sort Field,Party,State
M001205,Nay,Miller (WV),R,WV
M001215,Nay,Miller-Meeks,R,IA
M001216,Nay,Mills,R,FL
M001221,Nay,Molinaro,R,NY
M001194,Nay,Moolenaar,R,MI
M001195,Not Voting,Mooney,R,WV
M001212,Nay,Moore (AL),R,AL
M001213,Nay,Moore (UT),R,UT
M001160,Yea,Moore (WI),D,WI
M001224,Nay,Moran,R,TX
M001206,Yea,Morelle,D,NY
M001217,Yea,Moskowitz,D,FL
M001196,Yea,Moulton,D,MA
M001214,Yea,Mrvan,D,IN
M001225,Yea,Mullin,D,CA
M001210,Nay,Murphy,R,NC
N000002,Yea,Nadler,D,NY
N000179,Yea,Napolitano,D,CA
N000015,Yea,Neal,D,MA
N000191,Yea,Neguse,D,CO
N000026,Nay,Nehls,R,TX
N000189,Nay,Newhouse,R,WA
N000194,Yea,Nickel,D,NC
N000188,Yea,Norcross,D,NJ
N000190,Not Voting,Norman,R,SC
N000193,Nay,Nunn (IA),R,IA
O000019,Nay,Obernolte,R,CA
O000172,Yea,Ocasio-Cortez,D,NY
O000175,Nay,Ogles,R,TN
O000173,Yea,Omar,D,MN
O000086,Nay,Owens,R,UT
P000034,Yea,Pallone,D,NJ
P000609,Nay,Palmer,R,AL
P000613,Yea,Panetta,D,CA
P000614,Yea,Pappas,D,NH
P000096,Yea,Pascrell,D,NJ
P000604,Yea,Payne,D,NJ
P000197,Not Voting,Pelosi,D,CA
P000619,Yea,Peltola,D,AK
P000615,Nay,Pence,R,IN
G000600,Yea,Perez,D,WA
P000605,Not Voting,Perry,R,PA
P000608,Yea,Peters,D,CA
P000620,Yea,Pettersen,D,CO
P000048,Nay,Pfluger,R,TX
P000616,Not Voting,Phillips,D,MN
P000597,Yea,Pingree,D,ME
P000607,Yea,Pocan,D,WI
P000618,Yea,Porter,D,CA
P000599,Nay,Posey,R,FL
P000617,Yea,Pressley,D,MA
Q000023,Yea,Quigley,D,IL
R000617,Yea,Ramirez,D,IL
R000606,Yea,Raskin,D,MD
R000610,Nay,Reschenthaler,R,PA
M001159,Nay,Rodgers (WA),R,WA
R000575,Nay,Rogers (AL),R,AL
R000395,Nay,Rogers (KY),R,KY
R000612,Nay,Rose,R,TN
R000103,Nay,Rosendale,R,MT
R000305,Yea,Ross,D,NC
R000603,Nay,Rouzer,R,NC
R000614,Nay,Roy,R,TX
R000599,Yea,Ruiz,D,CA
R000576,Yea,Ruppersberger,D,MD
R000609,Nay,Rutherford,R,FL
R000579,Yea,Ryan,D,NY
S000168,Nay,Salazar,R,FL
S001226,Yea,Salinas,D,OR
S001156,Yea,Sanchez,D,CA
S001168,Yea,Sarbanes,D,MD
S001176,Not Voting,Scalise,R,LA
S001205,Yea,Scanlon,D,PA
S001145,Yea,Schakowsky,D,IL
S001150,Yea,Schiff,D,CA
S001190,Yea,Schneider,D,IL
S001221,Yea,Scholten,D,MI
S001216,Yea,Schrier,D,WA
S001183,Nay,Schweikert,R,AZ
S000185,Yea,Scott (VA),D,VA
S001189,Nay,"Scott, Austin",R,GA
S001157,Yea,"Scott, David",D,GA
S001224,Nay,Self,R,TX
S000250,Nay,Sessions,R,TX
S001185,Yea,Sewell,D,AL
S000344,Yea,Sherman,D,CA
S001207,Yea,Sherrill,D,NJ
S001148,Nay,Simpson,R,ID
S001208,Yea,Slotkin,D,MI
S001195,Nay,Smith (MO),R,MO
S001172,Nay,Smith (NE),R,NE
S000522,Nay,Smith (NJ),R,NJ
S000510,Yea,Smith (WA),D,WA
S001199,Nay,Smucker,R,PA
S001225,Yea,Sorensen,D,IL
S001200,Yea,Soto,D,FL
S001209,Yea,Spanberger,D,VA
S000929,Nay,Spartz,R,IN
S001218,Yea,Stansbury,D,NM
S001211,Yea,Stanton,D,AZ
S001212,Nay,Stauber,R,MN
S001135,Nay,Steel,R,CA
S001196,Nay,Stefanik,R,NY
S001213,Nay,Steil,R,WI
S001214,Nay,Steube,R,FL
S001215,Yea,Stevens,D,MI
S001159,Yea,Strickland,D,WA
S001220,Nay,Strong,R,AL
S001193,Yea,Swalwell,D,CA
S001223,Yea,Sykes,D,OH
T000472,Yea,Takano,D,CA
T000478,Nay,Tenney,R,NY
T000488,Yea,Thanedar,D,MI
T000460,Yea,Thompson (CA),D,CA
T000193,Yea,Thompson (MS),D,MS
T000467,Nay,Thompson (PA),R,PA
T000165,Nay,Tiffany,R,WI
T000480,Nay,Timmons,R,SC
T000468,Yea,Titus,D,NV
T000481,Yea,Tlaib,D,MI
T000487,Yea,Tokuda,D,HI
T000469,Yea,Tonko,D,NY
T000474,Yea,Torres (CA),D,CA
T000486,Yea,Torres (NY),D,NY
T000482,Yea,Trahan,D,MA
T000483,Yea,Trone,D,MD
T000463,Nay,Turner,R,OH
U000040,Yea,Underwood,D,IL
V000129,Nay,Valadao,R,CA
V000133,Nay,Van Drew,R,NJ
V000134,Nay,Van Duyne,R,TX
V000135,Nay,Van Orden,R,WI
V000130,Yea,Vargas,D,CA
V000136,Yea,Vasquez,D,NM
V000131,Yea,Veasey,D,TX
V000081,Yea,Velazquez,D,NY
W000812,Nay,Wagner,R,MO
W000798,Nay,Walberg,R,MI
W000823,Nay,Waltz,R,FL
W000797,Yea,Wasserman Schultz,D,FL
W000187,Yea,Waters,D,CA
W000822,Yea,Watson Coleman,D,NJ
W000814,Nay,Weber (TX),R,TX
W000806,Nay,Webster (FL),R,FL
W000815,Nay,Wenstrup,R,OH
W000821,Nay,Westerman,R,AR
W000825,Yea,Wexton,D,VA
W000826,Yea,Wild,D,PA
W000788,Yea,Williams (GA),D,GA
W000828,Nay,Williams (NY),R,NY
W000816,Nay,Williams (TX),R,TX
W000808,Yea,Wilson (FL),D,FL
W000795,Nay,Wilson (SC),R,SC
W000804,Nay,Wittman,R,VA
W000809,Nay,Womack,R,AR
Y000067,Nay,Yakym,R,IN
Z000018,Nay,Zinke,R,MT
